DatoMaerke,NOx ppb
2005-01-01,43.682986808510634
2005-01-02,16.190795913043477
2005-01-03,34.91586085106383
2005-01-04,32.540398574468085
2005-01-05,55.714600340425534
2005-01-06,45.472929787234044
2005-01-07,39.14856319148936
2005-01-08,18.28080876595745
2005-01-09,22.325640608695654
2005-01-10,46.535963829787235
2005-01-11,68.97672874468086
2005-01-12,55.08089531914894
2005-01-13,46.058340468085106
2005-01-14,74.57986914893617
2005-01-15,121.62774085106383
2005-01-16,32.69327891304348
2005-01-17,62.59104936170213
2005-01-18,71.04373829787234
2005-01-19,79.12461404255319
2005-01-20,40.92084554545455
2005-01-21,62.366131042553185
2005-01-22,66.37461723404256
2005-01-23,44.321750413043475
2005-01-24,26.441836212765956
2005-01-25,41.8804479787234
2005-01-26,131.37459338297873
2005-01-27,117.48049106382979
2005-01-28,153.21037510638297
2005-01-29,106.10549319148936
2005-01-30,48.738436630434784
2005-01-31,51.84253282978724
2005-02-01,63.68743144680852
2005-02-02,97.72030808510638
2005-02-03,158.47684063829786
2005-02-04,88.2009125531915
2005-02-05,49.99825659574468
2005-02-06,50.68221847826087
2005-02-07,87.57247148936169
2005-02-08,90.97095680851064
2005-02-09,78.4341859574468
2005-02-10,68.16944872340426
2005-02-11,79.0465044680851
2005-02-12,55.795302340425536
2005-02-13,28.21584047826087
2005-02-14,35.43376204347826
2005-02-15,30.124992787234042
2005-02-16,33.34466519148936
2005-02-17,87.09674085106383
2005-02-18,70.69956195652173
2005-02-19,53.91127510638297
2005-02-20,82.92309063829788
2005-02-21,84.57355489361703
2005-02-22,57.382020565217395
2005-02-23,54.8823825
2005-02-24,85.00464297872341
2005-02-25,102.84483341463415
2005-02-26,44.21777391304347
2005-02-27,12.881233649999999
2005-02-28,
2005-03-01,
2005-03-02,60.16180891304348
2005-03-03,78.58061488888889
2005-03-04,165.7338202173913
2005-03-05,65.58454617021276
2005-03-06,32.59230893617021
2005-03-07,72.36526680851064
2005-03-08,59.98812063829788
2005-03-09,77.71141382978723
2005-03-10,62.21334
2005-03-11,52.159759565217385
2005-03-12,52.32093340425532
2005-03-13,47.80514957446808
2005-03-14,53.70750878723404
2005-03-15,65.41383921276596
2005-03-16,61.56758191489362
2005-03-17,38.268480319148935
2005-03-18,79.35446591304348
2005-03-19,61.49512978723404
2005-03-20,67.61801595744681
2005-03-21,80.24171106382978
2005-03-22,85.24913808510638
2005-03-23,90.03951617021276
2005-03-24,65.82628765957448
2005-03-25,71.58770891304349
2005-03-26,51.27719723404256
2005-03-27,32.764266170212764
2005-03-28,47.50776659574468
2005-03-29,53.84504357142857
2005-03-30,57.1403269117647
2005-03-31,103.50561468085107
2005-04-01,139.65291936170212
2005-04-02,85.37407787234042
2005-04-03,72.1444240425532
2005-04-04,91.75094085106383
2005-04-05,54.910229782608695
2005-04-06,60.000023127659574
2005-04-07,52.98084021276596
2005-04-08,63.28802234042553
2005-04-09,36.41188191489361
2005-04-10,41.18841595744681
2005-04-11,43.654625531914895
2005-04-12,58.183974282608695
2005-04-13,83.55033972340426
2005-04-14,80.96804404255319
2005-04-15,119.29626276595745
2005-04-16,67.24927234042553
2005-04-17,48.83241659574468
2005-04-18,69.25293191489362
2005-04-19,66.24779108695652
2005-04-20,79.84459276595744
2005-04-21,51.593571136363636
2005-04-22,57.6435770212766
2005-04-23,52.662530000000004
2005-04-24,74.96835829787234
2005-04-25,75.01500191489362
2005-04-26,71.74800543478261
2005-04-27,66.98669595744681
2005-04-28,96.34506744680851
2005-04-29,71.98625311111111
2005-04-30,80.55692468085107
2005-05-01,57.93334893617021
2005-05-02,83.82424936170213
2005-05-03,90.06199739130435
2005-05-04,100.61227787234043
2005-05-05,36.49690936170213
2005-05-06,49.37975666666667
2005-05-07,
2005-05-08,
2005-05-09,51.96608266666667
2005-05-10,79.90993680851064
2005-05-11,92.43975638297873
2005-05-12,96.23789127659573
2005-05-13,114.18079765957447
2005-05-14,80.39653744680851
2005-05-15,62.18854804347826
2005-05-16,30.83409210638298
2005-05-17,79.72270391304347
2005-05-18,54.95304957446808
2005-05-19,52.01274574468085
2005-05-20,47.0540085106383
2005-05-21,52.40642382978724
2005-05-22,60.82622326086956
2005-05-23,84.01002638297872
2005-05-24,49.87234191489362
2005-05-25,55.79087159090909
2005-05-26,52.57688957446808
2005-05-27,85.51167787234043
2005-05-28,51.28097
2005-05-29,27.600271956521738
2005-05-30,69.79842825531915
2005-05-31,52.93646034042553
2005-06-01,42.33177531914894
2005-06-02,73.6157829787234
2005-06-03,74.50867239130434
2005-06-04,34.41515021276596
2005-06-05,24.717131872340428
2005-06-06,37.09624482608695
2005-06-07,45.433726404255324
2005-06-08,73.3200729787234
2005-06-09,52.423276808510636
2005-06-10,45.855858404255315
2005-06-11,33.70820404255319
2005-06-12,40.93155217391304
2005-06-13,61.48529446808511
2005-06-14,62.072411276595744
2005-06-15,64.87579936170212
2005-06-16,73.58830191489362
2005-06-17,59.22657787234042
2005-06-18,35.7339270212766
2005-06-19,49.72788717391304
2005-06-20,78.73018404255319
2005-06-21,55.34849085106383
2005-06-22,38.080869325581396
2005-06-23,55.15165659574468
2005-06-24,73.10467765957448
2005-06-25,57.16953106382979
2005-06-26,41.77197934782609
2005-06-27,33.17688134042553
2005-06-28,40.46660429787234
2005-06-29,60.492285744680856
2005-06-30,67.15347304347826
2005-07-01,68.69131152173914
2005-07-02,51.53292531914894
2005-07-03,45.68481680851063
2005-07-04,68.66065723404255
2005-07-05,57.51182586956522
2005-07-06,69.20734631914894
2005-07-07,73.96724872340425
