DatoMaerke,NOx ppb
2005-01-01,38.07783108695652
2005-01-02,12.225521659574468
2005-01-03,15.252095808510637
2005-01-04,18.183066106382977
2005-01-05,33.47907934042553
2005-01-06,22.441393829787234
2005-01-07,24.131342468085105
2005-01-08,15.744753913043478
2005-01-09,12.909608617021277
2005-01-10,24.72069329787234
2005-01-11,51.865740893617016
2005-01-12,35.02449106382979
2005-01-13,24.322602893617024
2005-01-14,22.59426404255319
2005-01-15,111.40850304347826
2005-01-16,44.23856425531915
2005-01-17,67.22237957446809
2005-01-18,60.50866170212766
2005-01-19,72.19806488888888
2005-01-20,20.88946636170213
2005-01-21,14.694079826086957
2005-01-22,22.238456173913043
2005-01-23,23.675839978723403
2005-01-24,46.5166654893617
2005-01-25,66.91255238297873
2005-01-26,92.4044759574468
2005-01-27,71.10926872340426
2005-01-28,127.3519489361702
2005-01-29,99.83070608695652
2005-01-30,33.25355193617021
2005-01-31,14.912599021276597
2005-02-01,25.67315131914894
2005-02-02,50.52619595744681
2005-02-03,170.01768212765958
2005-02-04,106.13790191489362
2005-02-05,53.28882152173913
2005-02-06,48.14849127659574
2005-02-07,76.36109240425532
2005-02-08,74.19803212765957
2005-02-09,75.43452765957447
2005-02-10,49.10825425531915
2005-02-11,31.61155425531915
2005-02-12,53.167074130434784
2005-02-13,14.018599063829786
2005-02-14,31.951311595744684
2005-02-15,48.71057704255319
2005-02-16,62.614427
2005-02-17,41.8665055106383
2005-02-18,53.55796510638298
2005-02-19,55.84089239130435
2005-02-20,71.73378957446809
2005-02-21,73.07375574468085
2005-02-22,52.183938893617025
2005-02-23,42.49271874468085
2005-02-24,61.61417077777778
2005-02-25,80.84205185106383
2005-02-26,48.04528108695652
2005-02-27,31.254115531914895
2005-02-28,46.824022765957444
2005-03-01,70.72818223404255
2005-03-02,52.862384318181824
2005-03-03,72.84969787234043
2005-03-04,116.33990260869565
2005-03-05,56.49973680851064
2005-03-06,29.66049978723404
2005-03-07,24.063142872340425
2005-03-08,47.02787574468085
2005-03-09,65.31819744680851
2005-03-10,36.24348210638298
2005-03-11,30.064813782608695
2005-03-12,47.78548829787234
2005-03-13,38.742793404255316
2005-03-14,37.78435972340425
2005-03-15,64.87529714893617
2005-03-16,41.81930404255319
2005-03-17,23.005805744680853
2005-03-18,57.32332880434783
2005-03-19,55.46061808510638
2005-03-20,59.85424787234042
2005-03-21,88.82460361702128
2005-03-22,86.63548348837209
2005-03-23,90.47717808510639
2005-03-24,49.87591378723405
2005-03-25,64.51241695652173
2005-03-26,47.3898414893617
2005-03-27,32.96902808510638
2005-03-28,51.45547106382978
2005-03-29,53.92152785106383
2005-03-30,57.806021255319145
2005-03-31,96.61586191489361
2005-04-01,141.33055717391306
2005-04-02,78.29743914893616
2005-04-03,61.01465723404255
2005-04-04,89.95985914893616
2005-04-05,27.88316521276596
2005-04-06,55.4621029787234
2005-04-07,58.48945042553192
2005-04-08,57.53328413043478
2005-04-09,16.378863468085108
2005-04-10,42.18525829787234
2005-04-11,26.664668148936173
2005-04-12,35.93875717021277
2005-04-13,98.57275580851065
2005-04-14,89.58315957446807
2005-04-15,102.24653978260869
2005-04-16,51.06754
2005-04-17,39.3396485106383
2005-04-18,58.72568342553191
2005-04-19,63.89578121276596
2005-04-20,69.54265904545456
2005-04-21,25.967060212765958
2005-04-22,46.887942826086956
2005-04-23,56.05070106382979
2005-04-24,69.24855191489361
2005-04-25,60.602074255319145
2005-04-26,55.42054361702128
2005-04-27,55.424545787234045
2005-04-28,83.78175638297873
2005-04-29,67.3494752173913
2005-04-30,73.00179468085106
2005-05-01,77.27371936170213
2005-05-02,71.22278574468085
2005-05-03,55.15987804255319
2005-05-04,52.47326061702128
2005-05-05,14.79083104255319
2005-05-06,22.842621652173914
2005-05-07,25.258171276595743
2005-05-08,30.808976276595743
2005-05-09,62.314492404255326
2005-05-10,70.81026063829788
2005-05-11,70.68949574468085
2005-05-12,60.0125725106383
2005-05-13,97.97040891304347
2005-05-14,72.17257042553192
2005-05-15,56.42363957446808
2005-05-16,18.511744425531916
2005-05-17,52.91308421276595
2005-05-18,29.89250872340426
2005-05-19,50.92105602857143
2005-05-20,44.57805108695652
2005-05-21,55.697667234042555
2005-05-22,71.29019489361703
2005-05-23,84.79238238297872
2005-05-24,44.55810274468085
2005-05-25,52.91846021276596
2005-05-26,60.71485139534884
2005-05-27,41.796661739130435
2005-05-28,43.07178940425532
2005-05-29,12.191869787234042
2005-05-30,41.96903872340426
2005-05-31,26.673973127659576
2005-06-01,17.470952872340426
2005-06-02,73.96025570212765
2005-06-03,82.33900586956521
2005-06-04,24.839679148936167
2005-06-05,16.61863059574468
2005-06-06,17.141092723404256
2005-06-07,25.491703234042554
2005-06-08,33.60197838297872
2005-06-09,19.990838680851066
2005-06-10,12.696567127659574
2005-06-11,16.906740468085108
2005-06-12,34.54901214893617
2005-06-13,64.81622723404256
2005-06-14,57.305727608695655
2005-06-15,67.56975193617022
2005-06-16,77.78705893617021
2005-06-17,45.91446934042553
2005-06-18,8.432926489361703
2005-06-19,20.166212063829786
2005-06-20,72.60926170212765
2005-06-21,53.15514908695652
2005-06-22,10.048229170212766
2005-06-23,38.470923272727276
2005-06-24,75.01301744680852
2005-06-25,28.62641119148936
2005-06-26,30.49461563829787
2005-06-27,12.628772255319149
2005-06-28,8.945734086956522
2005-06-29,34.041542425531915
2005-06-30,65.02790085106383
2005-07-01,60.060067659574464
2005-07-02,48.39193787234043
2005-07-03,40.35765659574468
2005-07-04,43.63558274468085
2005-07-05,31.899277116279073
