Date,NO2_HCAB,NO2_JAGT,NO2_HCØ,NO2_HVID
2018-01-01,9.631655276595744,8.225643999999999,3.639999212765957,
2018-01-02,23.751218822222224,16.441553914893618,8.368437804347826,
2018-01-03,19.27909492857143,6.5123244375,7.596541760869565,
2018-01-04,27.72907574468085,,9.59830891891892,
2018-01-05,26.78394404255319,,9.38657802173913,
2018-01-06,16.03907389361702,,7.598824531914893,
2018-01-07,27.521560680851064,,11.508821638297873,
2018-01-08,33.9537964893617,,15.646561531914896,
2018-01-09,16.941190475,,4.974023760869565,
2018-01-10,21.52708193617021,,8.972341723404256,
2018-01-11,20.305248361702127,,6.30815185106383,
2018-01-12,18.25647855319149,,4.2710552222222224,
2018-01-13,14.657101361702129,,3.307298340425532,
2018-01-14,10.103042872340426,,3.221252234042553,
2018-01-15,9.730675,,6.325596723404256,
2018-01-16,20.410400630434783,,7.05033414893617,
2018-01-17,26.169211042553197,,8.432161893617021,
2018-01-18,24.130177255319147,,7.188635404255319,
2018-01-19,26.815608468085102,,11.71127593478261,
2018-01-20,20.312748957446807,,5.585553304347826,
2018-01-21,25.194714468085103,,10.057106468085106,
2018-01-22,18.47424538297872,,7.1864068723404255,
2018-01-23,17.789202760869564,,10.866876680851064,
2018-01-24,17.321712531914894,,7.605919595744681,
2018-01-25,22.747509659574465,,7.171242231914893,
2018-01-26,29.816197872340425,,11.742067531914891,
2018-01-27,15.09901389361702,,6.374125826086956,
2018-01-28,7.189650510638297,,3.379277340425532,
2018-01-29,8.684202191489362,,3.501587780851064,
2018-01-30,13.79488654090909,,4.336395797777778,
2018-01-31,16.83820385106383,,7.693295148936171,
2018-02-01,17.24424125531915,,5.623294744680851,
2018-02-02,20.20804221276596,,9.448671446808511,
2018-02-03,16.82042708510638,,3.5474228666666665,
2018-02-04,12.423692723404256,,1.835293470212766,
2018-02-05,27.604180680851066,,6.727849508510638,
2018-02-06,27.689831565217396,,10.934378622222225,
2018-02-07,27.667071553191487,,10.823819319148935,
2018-02-08,29.713022978723405,,12.611401957446809,
2018-02-09,20.398560733333333,,9.390730319148936,
2018-02-10,20.261458723404253,,9.353963347826086,
2018-02-11,14.09397510638298,,8.217492553191489,
2018-02-12,15.849213,,4.9317458510638295,
2018-02-13,24.160649739130434,,9.395353361702128,
2018-02-14,27.810375829787237,,13.164496489361705,
2018-02-15,13.474599,,6.115862574468085,
2018-02-16,21.113129276595743,,7.52758085106383,
2018-02-17,21.96403289361702,,4.972343630434783,
2018-02-18,19.302599042553197,,5.876186212765957,
2018-02-19,25.757872234042555,,12.102924978723404,
2018-02-20,27.90366515909091,,7.382749239130435,
2018-02-21,28.72005682978724,,9.222134957446809,
2018-02-22,30.38085406521739,,6.289669468085107,
2018-02-23,31.323804297872343,,8.42277044680851,
2018-02-24,22.379572574468085,,2.0103888173913047,
2018-02-25,16.459952617021276,,1.5245783531914894,
2018-02-26,9.934353378723404,,2.6828585234042555,
2018-02-27,15.999624052272727,10.449603727272727,1.501292399767442,
2018-02-28,18.70034236170213,11.049697531914893,1.8292354976595744,
2018-03-01,22.917043063829787,13.240346191489362,2.334124152978723,
2018-03-02,28.553674085106383,19.902595468085103,3.727300490909091,
2018-03-03,22.639117446808516,12.538115466666666,3.667046422222222,
2018-03-04,15.587177021276595,12.417983319148936,3.078134957446809,
2018-03-05,25.834581255319147,23.61498904255319,9.827250276595745,
2018-03-06,39.92346044444445,34.234047777777775,16.27577352173913,
2018-03-07,37.56199038297872,30.447628085106384,8.519550893617021,
2018-03-08,32.64955204255319,29.29174795744681,13.47270619148936,
2018-03-09,26.496417446808508,13.71891458695652,8.903019130434783,
2018-03-10,26.84408744680851,15.589567347826089,6.138885127659575,
2018-03-11,18.168424127659573,13.028543085106383,7.736123489361702,
2018-03-12,33.583286489361704,27.897569063829785,13.940827212765958,
2018-03-13,21.13405,12.721553255319147,9.323304425531916,
2018-03-14,24.356012847826086,6.588242,6.926201652173913,
2018-03-15,18.515775886363635,3.128517,2.032164840888889,
2018-03-16,19.498460717391307,5.9473332857142855,1.232878952,
2018-03-17,14.322577739130434,5.838913869565217,0.5034415847826087,
2018-03-18,20.222966391304347,9.516122063829789,1.3536908413043478,
2018-03-19,30.341228085106383,20.703395564102564,9.052020869565215,
2018-03-20,17.25656267391304,14.271171804347825,5.329640454545454,
2018-03-21,23.466176938297878,16.759981404255317,9.080349,
2018-03-22,27.987381361702127,22.60557574468085,6.757545468085107,
2018-03-23,23.115514239130437,21.965235680851062,6.501373819148936,
2018-03-24,15.40949638297872,17.78159088888889,9.379662829787234,
2018-03-25,26.23195489361702,19.32805270212766,8.767798521739131,
2018-03-26,26.912372872340427,19.64078025531915,7.802425787234043,
2018-03-27,23.12251237777777,21.011090739130434,7.118850989130436,
2018-03-28,16.765779744680852,10.860346553191487,2.133710593617021,
2018-03-29,10.932679617021275,7.304965914893617,1.7530745723404255,
2018-03-30,15.823666173913043,13.93644295744681,3.5756780744680854,
2018-03-31,20.592806702127657,11.266559239130434,3.0467013382978725,
2018-04-01,10.66478270212766,7.762420468085106,2.00832702,
2018-04-02,17.199677468085106,10.334604978723403,4.28892805319149,
2018-04-03,30.61725508695652,27.92700786956522,10.040867195652174,
2018-04-04,22.63959006382979,20.92456070212766,8.60686125531915,
2018-04-05,21.221254170212767,15.731388434782607,6.137041210638298,
2018-04-06,20.879951066666667,13.06644374468085,7.428037273913043,
2018-04-07,21.823948723404257,17.973154847826088,7.445925021276596,
2018-04-08,18.877782553191487,18.638054680851063,8.202494170212766,
