Date,Hour,temp_dry,humidity,wind_speed,Pressure,Visibility,Wind_dir
2025-05-01,0,8.566666666666666,89.83333333333333,1.7166666666666668,1021.8499999999999,32833.333333333336,340
2025-05-01,1,7.05,94.33333333333333,1.4166666666666667,1021.7000000000002,14833.333333333334,250
2025-05-01,2,6.883333333333333,94.33333333333333,1.0833333333333333,1021.6999999999999,7950.0,256
2025-05-01,3,7.566666666666666,97.83333333333333,1.0166666666666666,1021.7000000000002,8033.333333333333,267
2025-05-01,4,7.133333333333333,95.33333333333333,0.3333333333333333,1021.8333333333334,10216.666666666666,40
2025-05-01,5,11.6,81.83333333333333,0.5833333333333334,1021.9333333333334,23166.666666666668,0
2025-05-01,6,13.283333333333333,73.83333333333333,2.0833333333333335,1021.8166666666666,32333.333333333332,155
2025-05-01,7,13.799999999999999,68.16666666666667,3.1833333333333336,1021.8666666666667,54166.666666666664,185
2025-05-01,8,14.233333333333334,67.83333333333333,4.016666666666667,1021.9333333333334,47500.0,176
2025-05-01,9,14.4,66.83333333333333,4.95,1021.7166666666667,43333.333333333336,177
2025-05-01,10,15.049999999999999,68.0,5.2,1021.35,50000.0,180
2025-05-01,11,15.466666666666667,67.66666666666667,4.85,1020.7666666666668,35333.333333333336,168
2025-05-01,12,16.2,65.5,5.483333333333333,1020.3000000000001,41666.666666666664,164
2025-05-01,13,15.583333333333334,68.33333333333333,6.2,1019.75,35166.666666666664,166
2025-05-01,14,15.716666666666667,70.16666666666667,5.95,1019.0166666666668,28833.333333333332,165
2025-05-01,15,15.433333333333332,71.0,5.766666666666667,1018.3000000000001,29833.333333333332,155
2025-05-01,16,15.016666666666666,72.5,5.3999999999999995,1017.5666666666666,33333.333333333336,155
2025-05-01,17,14.366666666666667,75.66666666666667,4.933333333333333,1016.8666666666667,33333.333333333336,164
2025-05-01,18,13.116666666666667,81.5,5.016666666666667,1016.4666666666667,26666.666666666668,165
2025-05-01,19,12.6,82.5,4.1,1016.1833333333334,28500.0,159
2025-05-01,20,12.549999999999999,82.16666666666667,3.85,1015.6833333333334,31666.666666666668,160
2025-05-01,21,12.866666666666667,82.16666666666667,4.35,1014.9499999999999,28500.0,158
2025-05-01,22,13.483333333333334,78.16666666666667,4.016666666666667,1014.25,32333.333333333332,151
2025-05-01,23,13.4,78.5,5.3999999999999995,1013.3000000000001,33333.333333333336,155
2025-05-02,0,12.65,82.5,5.583333333333333,1012.2833333333333,29666.666666666668,162
2025-05-02,1,12.383333333333333,84.5,4.966666666666666,1011.4833333333332,30000.0,175
2025-05-02,2,12.083333333333334,84.5,4.016666666666667,1010.7666666666668,40000.0,203
2025-05-02,3,10.066666666666666,92.33333333333333,2.766666666666667,1010.35,38333.333333333336,209
2025-05-02,4,11.616666666666667,88.66666666666667,2.9333333333333336,1010.2166666666667,47500.0,220
2025-05-02,5,13.683333333333332,80.33333333333333,4.183333333333333,1010.1333333333333,52500.0,244
2025-05-02,6,15.299999999999999,71.16666666666667,3.766666666666667,1009.85,45000.0,248
2025-05-02,7,16.316666666666666,66.0,4.1,1009.5333333333333,44166.666666666664,239
2025-05-02,8,17.400000000000002,54.833333333333336,5.6499999999999995,1009.8666666666667,47500.0,244
2025-05-02,9,15.083333333333334,68.66666666666667,5.233333333333333,1010.0666666666666,27500.0,284
2025-05-02,10,13.35,85.16666666666667,5.3,1010.25,13166.666666666666,272
2025-05-02,11,14.35,78.83333333333333,5.3,1010.5666666666666,18166.666666666668,300
2025-05-02,12,15.533333333333333,67.16666666666667,4.783333333333333,1010.5666666666666,38833.333333333336,306
2025-05-02,13,15.783333333333333,56.0,6.266666666666667,1010.5833333333334,60000.0,319
2025-05-02,14,15.783333333333333,53.0,7.45,1010.5500000000001,65833.33333333333,292
2025-05-02,15,15.65,43.0,8.4,1010.4499999999999,60000.0,285
2025-05-02,16,15.200000000000001,43.833333333333336,8.15,1009.9333333333334,61666.666666666664,294
2025-05-02,17,14.433333333333332,47.0,7.283333333333334,1009.8166666666666,63333.333333333336,290
2025-05-02,18,13.116666666666667,50.5,6.266666666666667,1009.9833333333332,57500.0,289
2025-05-02,19,11.799999999999999,56.666666666666664,5.316666666666666,1010.1999999999999,46666.666666666664,290
2025-05-02,20,10.683333333333332,63.0,4.616666666666666,1010.3333333333334,46666.666666666664,290
2025-05-02,21,10.0,66.33333333333333,4.933333333333333,1010.4666666666667,40000.0,290
2025-05-02,22,9.266666666666667,68.16666666666667,4.1,1010.4166666666666,41666.666666666664,294
2025-05-02,23,9.15,67.5,4.516666666666667,1010.1999999999999,43333.333333333336,297
2025-05-03,0,7.783333333333334,75.66666666666667,3.4333333333333336,1009.9833333333332,35000.0,274
2025-05-03,1,7.166666666666667,82.66666666666667,3.6,1009.7833333333333,32500.0,253
2025-05-03,2,7.25,83.83333333333333,3.683333333333333,1009.4499999999999,32500.0,245
2025-05-03,3,7.8999999999999995,83.66666666666667,4.266666666666667,1009.1166666666667,30833.333333333332,255
2025-05-03,4,8.25,84.16666666666667,5.566666666666666,1008.9333333333334,30000.0,244
2025-05-03,5,8.616666666666667,82.83333333333333,6.283333333333334,1008.9166666666666,31666.666666666668,245
2025-05-03,6,9.866666666666667,78.66666666666667,5.3999999999999995,1008.4499999999999,32500.0,261
2025-05-03,7,10.6,70.33333333333333,7.116666666666667,1008.1999999999999,48500.0,238
2025-05-03,8,11.433333333333332,68.33333333333333,6.783333333333334,1008.1500000000001,57500.0,256
2025-05-03,9,12.366666666666667,61.666666666666664,7.216666666666666,1007.9666666666667,47500.0,260
