Date,Hour,Temp_dry,Wind_dir,Humidity,wind_speed,Pressure,visibility
2023-01-01,0,8.083333333333334,186.83333333333334,98.5,5.6000000000000005,1000.0500000000001,3600.0
2023-01-01,1,9.516666666666667,208.16666666666666,97.5,6.6000000000000005,999.6166666666667,4250.0
2023-01-01,2,10.200000000000001,227.16666666666666,95.0,10.633333333333335,999.6666666666666,4550.0
2023-01-01,3,10.033333333333333,229.66666666666666,95.66666666666667,10.3,999.8666666666667,3566.6666666666665
2023-01-01,4,10.166666666666666,231.66666666666666,95.0,10.3,1000.3000000000001,3650.0
2023-01-01,5,10.25,230.83333333333334,93.16666666666667,9.8,1001.0166666666668,8666.666666666666
2023-01-01,6,10.366666666666667,232.66666666666666,91.5,8.766666666666667,1001.7666666666668,11166.666666666666
2023-01-01,7,10.366666666666667,231.16666666666666,89.5,8.133333333333333,1002.5166666666668,13333.333333333334
2023-01-01,8,10.233333333333333,228.5,90.33333333333333,8.85,1003.3666666666667,11500.0
2023-01-01,9,10.216666666666667,234.0,91.0,9.633333333333335,1004.25,8950.0
2023-01-01,10,10.65,236.5,86.5,9.466666666666667,1005.1333333333333,18666.666666666668
2023-01-01,11,10.35,239.16666666666666,83.5,9.466666666666667,1005.9666666666667,26500.0
2023-01-01,12,10.116666666666667,241.33333333333334,80.33333333333333,9.200000000000001,1006.7166666666667,29833.333333333332
2023-01-01,13,9.799999999999999,239.5,79.16666666666667,8.85,1007.9666666666667,27500.0
2023-01-01,14,9.333333333333334,239.83333333333334,78.16666666666667,8.233333333333333,1009.0500000000001,28000.0
2023-01-01,15,8.766666666666667,232.16666666666666,81.5,6.866666666666667,1010.1666666666666,23666.666666666668
2023-01-01,16,7.7,224.5,86.16666666666667,6.45,1011.0,19666.666666666668
2023-01-01,17,7.533333333333334,226.83333333333334,87.33333333333333,5.583333333333333,1011.5333333333333,18000.0
2023-01-01,18,7.816666666666666,227.0,86.16666666666667,5.866666666666667,1011.75,19333.333333333332
2023-01-01,19,8.183333333333334,215.0,86.0,6.533333333333334,1012.2166666666667,19500.0
2023-01-01,20,8.333333333333334,216.0,86.83333333333333,6.116666666666667,1012.6,19500.0
2023-01-01,21,8.0,212.5,88.5,4.45,1012.9833333333332,19666.666666666668
2023-01-01,22,7.533333333333334,200.0,90.16666666666667,3.4333333333333336,1013.6666666666666,20500.0
2023-01-01,23,6.916666666666667,174.0,92.0,3.1,1013.5666666666666,21500.0
2023-01-02,0,7.166666666666667,173.5,90.5,4.183333333333333,1013.0666666666666,27000.0
2023-01-02,1,7.183333333333334,174.66666666666666,92.5,4.95,1012.3000000000001,25500.0
2023-01-02,2,7.116666666666667,174.66666666666666,93.5,4.6,1011.9499999999999,21666.666666666668
2023-01-02,3,7.133333333333333,179.5,94.5,4.6,1011.6333333333333,14166.666666666666
2023-01-02,4,7.133333333333333,174.33333333333334,96.33333333333333,3.6999999999999997,1011.1666666666666,6000.0
2023-01-02,5,7.233333333333333,150.66666666666666,97.5,2.3333333333333335,1010.2333333333332,5166.666666666667
2023-01-02,6,7.333333333333333,128.83333333333334,97.66666666666667,4.1,1009.0833333333334,4866.666666666667
2023-01-02,7,7.1000000000000005,122.33333333333333,98.0,4.533333333333333,1008.0166666666668,3116.6666666666665
2023-01-02,8,7.383333333333333,147.16666666666666,98.0,4.533333333333333,1007.25,3366.6666666666665
2023-01-02,9,7.733333333333333,188.33333333333334,98.0,5.383333333333333,1006.85,3283.3333333333335
2023-01-02,10,8.983333333333333,209.16666666666666,97.16666666666667,5.666666666666667,1006.5166666666668,6500.0
2023-01-02,11,9.366666666666667,207.16666666666666,97.0,4.266666666666667,1005.9333333333334,7500.0
2023-01-02,12,9.6,217.0,96.33333333333333,4.866666666666666,1006.0166666666668,13000.0
2023-01-02,13,9.633333333333333,229.83333333333334,95.16666666666667,5.95,1006.0,17833.333333333332
2023-01-02,14,8.616666666666667,266.5,92.33333333333333,7.283333333333334,1007.0,33666.666666666664
2023-01-02,15,7.166666666666667,280.6666666666667,93.33333333333333,6.533333333333334,1008.9833333333332,30316.666666666668
2023-01-02,16,6.716666666666666,280.6666666666667,92.16666666666667,5.933333333333334,1010.2666666666668,39916.666666666664
2023-01-02,17,6.416666666666667,262.5,91.83333333333333,5.3999999999999995,1011.2166666666667,38833.333333333336
2023-01-02,18,6.1499999999999995,244.33333333333334,93.33333333333333,4.716666666666666,1011.6333333333333,27500.0
2023-01-02,19,6.733333333333333,236.66666666666666,91.33333333333333,6.533333333333334,1012.0166666666668,33166.666666666664
2023-01-02,20,6.816666666666666,233.83333333333334,89.5,7.45,1012.5,43333.333333333336
2023-01-02,21,6.733333333333333,249.83333333333334,83.16666666666667,8.066666666666668,1013.1333333333333,53333.333333333336
2023-01-02,22,6.466666666666666,255.66666666666666,80.5,8.033333333333333,1013.9833333333332,52500.0
2023-01-02,23,5.766666666666667,254.83333333333334,82.83333333333333,7.533333333333334,1014.6166666666667,47500.0
2023-01-03,0,5.183333333333334,251.5,86.33333333333333,6.866666666666667,1015.4499999999999,39166.666666666664
2023-01-03,1,4.933333333333334,248.16666666666666,86.33333333333333,7.366666666666667,1016.0500000000001,35000.0
2023-01-03,2,5.0,251.5,84.33333333333333,7.2,1016.75,37500.0
2023-01-03,3,5.1499999999999995,254.5,84.66666666666667,7.533333333333334,1017.2833333333333,35000.0
2023-01-03,4,5.3,257.8333333333333,83.66666666666667,7.783333333333332,1017.7833333333333,33333.333333333336
2023-01-03,5,5.483333333333333,254.33333333333334,84.16666666666667,7.7,1018.2666666666668,31666.666666666668
