DatoMaerke,NO2 ppb
2018-01-01,3.6399992127659573
2018-01-02,8.368437804347826
2018-01-03,7.596541760869565
2018-01-04,9.598308918918919
2018-01-05,9.38657802173913
2018-01-06,7.598824531914893
2018-01-07,11.508821638297873
2018-01-08,15.646561531914895
2018-01-09,4.974023760869565
2018-01-10,8.972341723404256
2018-01-11,6.30815185106383
2018-01-12,4.2710552222222224
2018-01-13,3.307298340425532
2018-01-14,3.221252234042553
2018-01-15,6.325596723404256
2018-01-16,7.05033414893617
2018-01-17,8.432161893617021
2018-01-18,7.188635404255319
2018-01-19,11.71127593478261
2018-01-20,5.585553304347826
2018-01-21,10.057106468085106
2018-01-22,7.1864068723404255
2018-01-23,10.866876680851064
2018-01-24,7.605919595744681
2018-01-25,7.171242231914893
2018-01-26,11.742067531914893
2018-01-27,6.374125826086956
2018-01-28,3.379277340425532
2018-01-29,3.501587780851064
2018-01-30,4.336395797777778
2018-01-31,7.693295148936171
2018-02-01,5.623294744680851
2018-02-02,9.448671446808511
2018-02-03,3.5474228666666665
2018-02-04,1.8352934702127661
2018-02-05,6.727849508510638
2018-02-06,10.934378622222223
2018-02-07,10.823819319148937
2018-02-08,12.611401957446809
2018-02-09,9.390730319148936
2018-02-10,9.353963347826086
2018-02-11,8.217492553191489
2018-02-12,4.9317458510638295
2018-02-13,9.395353361702128
2018-02-14,13.164496489361703
2018-02-15,6.115862574468085
2018-02-16,7.52758085106383
2018-02-17,4.972343630434783
2018-02-18,5.876186212765957
2018-02-19,12.102924978723404
2018-02-20,7.382749239130435
2018-02-21,9.222134957446809
2018-02-22,6.289669468085107
2018-02-23,8.42277044680851
2018-02-24,2.0103888173913047
2018-02-25,1.5245783531914894
2018-02-26,2.6828585234042555
2018-02-27,1.5012923997674419
2018-02-28,1.8292354976595744
2018-03-01,2.334124152978723
2018-03-02,3.727300490909091
2018-03-03,3.667046422222222
2018-03-04,3.078134957446809
2018-03-05,9.827250276595745
2018-03-06,16.27577352173913
2018-03-07,8.519550893617021
2018-03-08,13.47270619148936
2018-03-09,8.903019130434783
2018-03-10,6.138885127659575
2018-03-11,7.736123489361702
2018-03-12,13.940827212765958
2018-03-13,9.323304425531916
2018-03-14,6.926201652173913
2018-03-15,2.032164840888889
2018-03-16,1.2328789519999999
2018-03-17,0.5034415847826087
2018-03-18,1.3536908413043478
2018-03-19,9.052020869565217
2018-03-20,5.329640454545454
2018-03-21,9.080349
2018-03-22,6.757545468085107
2018-03-23,6.501373819148936
2018-03-24,9.379662829787234
2018-03-25,8.767798521739131
2018-03-26,7.802425787234043
2018-03-27,7.1188509891304355
2018-03-28,2.1337105936170215
2018-03-29,1.7530745723404255
2018-03-30,3.5756780744680854
2018-03-31,3.0467013382978725
2018-04-01,2.00832702
2018-04-02,4.28892805319149
2018-04-03,10.040867195652174
2018-04-04,8.60686125531915
2018-04-05,6.137041210638298
2018-04-06,7.428037273913043
2018-04-07,7.445925021276596
2018-04-08,8.202494170212766
2018-04-09,14.219992063829785
2018-04-10,4.868706978260869
2018-04-11,3.622363118085106
2018-04-12,2.4704213361702125
2018-04-13,3.8768488173913043
2018-04-14,7.897809361702128
2018-04-15,6.096336638297872
2018-04-16,10.16517429787234
2018-04-17,7.332170500000001
2018-04-18,6.329315404255319
2018-04-19,10.009427
2018-04-20,10.04373843478261
2018-04-21,2.8074311914893615
2018-04-22,5.592942
2018-04-23,4.946650042553191
2018-04-24,3.859947217391304
2018-04-25,4.221845446808511
2018-04-26,4.740492957446809
2018-04-27,3.7006699555555556
2018-04-28,8.482641595744681
2018-04-29,4.90688129787234
2018-04-30,5.896289872340426
2018-05-01,6.190940106382978
2018-05-02,5.7667017826086955
2018-05-03,6.468190936170213
2018-05-04,8.095745826086956
2018-05-05,11.7306515106383
2018-05-06,12.110536893617022
2018-05-07,13.960578106382977
2018-05-08,10.076985860465117
2018-05-09,6.127613702127659
2018-05-10,6.6196741702127655
2018-05-11,4.557369425531915
2018-05-12,8.061989319148937
2018-05-13,10.708528782608695
2018-05-14,10.492263888888887
2018-05-15,8.157539
2018-05-16,7.1997542978723414
2018-05-17,5.005152212765958
2018-05-18,9.386675545454546
2018-05-19,
2018-05-20,
2018-05-21,
2018-05-22,
2018-05-23,8.605472055555555
2018-05-24,10.414831069767443
2018-05-25,5.124913822222222
2018-05-26,6.099154586956521
2018-05-27,8.191704957446808
2018-05-28,13.080649659574467
2018-05-29,14.701231955555555
2018-05-30,8.42505940425532
2018-05-31,8.474411638297873
2018-06-01,8.845872468085107
2018-06-02,12.260455347826086
2018-06-03,7.428848361702127
2018-06-04,3.625526617021277
2018-06-05,3.7971143617021275
2018-06-06,4.8625262000000005
2018-06-07,7.000854765957446
2018-06-08,11.423223106382979
