Weekday,Date,Hour,NO2_ppb,NOx_ppb,temp_dry,Humidity,Wind_speed,Pressure,Visibility,Wind_dir
Friday,2020-01-03,19,6.3001755,6.262419,4.833333333333333,83.0,5.2,1010.5,30000.0,276.0
Friday,2020-01-03,20,4.0269455,3.9784015,4.766666666666667,82.66666666666667,6.2,1010.6666666666666,30000.0,270.0
Friday,2020-01-03,21,3.6009475,3.578294,4.183333333333334,85.83333333333333,6.95,1010.9,28333.33333333333,262.0
Friday,2020-01-03,22,4.750381,4.603671500000001,3.8,88.33333333333333,6.45,1011.2166666666668,26000.0,259.0
Friday,2020-01-03,23,3.12054,2.7408205,3.9333333333333336,86.83333333333333,6.95,1011.0,28666.666666666668,259.0
Saturday,2020-01-04,0,2.2935945,2.161987,4.266666666666667,84.83333333333333,8.116666666666665,1010.5333333333332,29666.666666666668,257.0
Saturday,2020-01-04,1,1.7279225,1.784017,4.633333333333333,81.83333333333333,9.033333333333331,1010.1666666666666,29500.0,261.0
Saturday,2020-01-04,2,0.9281706,0.9141467,5.033333333333333,79.83333333333333,9.216666666666669,1010.05,31666.666666666668,261.0
Saturday,2020-01-04,3,1.1390155000000002,1.3671705,5.366666666666667,80.83333333333333,9.633333333333336,1009.9333333333334,27833.33333333333,260.0
Saturday,2020-01-04,4,0.9935741,1.043197,4.833333333333333,88.33333333333333,7.883333333333333,1009.8666666666668,8166.666666666667,281.0
Saturday,2020-01-04,5,1.451822,1.339093,4.95,88.0,7.2,1009.45,36000.0,291.0
Saturday,2020-01-04,6,1.528142,1.5874725,5.15,85.66666666666667,7.783333333333334,1008.85,37500.0,265.0
Saturday,2020-01-04,7,2.3602265,2.4298055,3.633333333333333,90.16666666666669,6.95,1008.7333333333332,17333.333333333332,264.0
Saturday,2020-01-04,8,1.73319,1.6673865,2.3666666666666667,91.83333333333331,6.516666666666667,1008.9166666666666,18833.33333333333,307.0
Saturday,2020-01-04,9,2.8135675,2.677106,1.3666666666666665,96.0,4.516666666666667,1008.55,55000.0,295.0
Saturday,2020-01-04,10,5.594746499999999,5.8299135,3.1833333333333336,87.83333333333333,7.033333333333334,1008.6333333333332,57500.0,249.0
Saturday,2020-01-04,11,2.5975335,2.913607,4.566666666666666,77.16666666666667,8.316666666666666,1009.1,40833.333333333336,297.0
Saturday,2020-01-04,12,1.874977,2.1036715,4.95,70.5,8.6,1009.7166666666668,37500.0,304.0
Saturday,2020-01-04,13,2.5113665000000003,3.0367170000000003,5.016666666666667,68.5,8.950000000000001,1010.55,40833.333333333336,302.0
Saturday,2020-01-04,14,3.2146220000000003,3.9546435,5.316666666666666,66.66666666666667,8.416666666666666,1012.0333333333332,46666.66666666666,307.0
Saturday,2020-01-04,15,3.4724625,4.105292,5.116666666666666,61.0,7.716666666666666,1013.4833333333332,55000.0,319.0
Saturday,2020-01-04,16,3.300216,3.9535635,4.883333333333334,58.16666666666666,7.45,1014.9833333333332,55000.0,321.0
Saturday,2020-01-04,17,3.138229,3.6079915,4.483333333333333,60.16666666666666,6.95,1016.85,53333.333333333336,320.0
Saturday,2020-01-04,18,2.911987,2.9163065,4.433333333333334,61.0,6.783333333333334,1018.7333333333332,53333.333333333336,317.0
Saturday,2020-01-04,19,4.023758,4.2008635,4.15,63.333333333333336,5.933333333333334,1020.2333333333332,54166.66666666666,315.0
Saturday,2020-01-04,20,3.7710585,4.017279,3.7,64.5,5.033333333333333,1021.7666666666668,55000.0,318.0
Saturday,2020-01-04,21,2.5172785,2.336933,3.266666666666667,66.5,4.016666666666667,1023.15,55000.0,316.0
Saturday,2020-01-04,22,3.2899565,3.3682505,2.333333333333333,70.0,2.766666666666667,1024.2166666666665,54166.66666666666,314.0
Saturday,2020-01-04,23,4.915227,5.252159499999999,-0.1166666666666666,79.83333333333333,3.1833333333333336,1024.8666666666666,54166.66666666666,282.0
Sunday,2020-01-05,0,7.9659825,8.286177,-0.0333333333333333,84.16666666666667,2.583333333333333,1025.6,48333.333333333336,270.0
Sunday,2020-01-05,1,6.389849,6.6339095,0.2166666666666666,84.5,3.85,1026.5333333333333,50000.0,270.0
Sunday,2020-01-05,2,3.9649025,3.852052,0.3333333333333333,88.5,3.766666666666666,1027.2666666666669,45000.0,281.0
Sunday,2020-01-05,3,3.2850975,3.2311015000000003,0.5166666666666667,86.5,3.6833333333333336,1027.7666666666669,46666.66666666666,287.0
Sunday,2020-01-05,4,2.6533480000000003,2.852592,-0.65,88.5,3.1,1028.1166666666666,49166.66666666666,278.0
Sunday,2020-01-05,5,2.885529,3.030238,-1.05,91.83333333333331,3.1833333333333336,1028.5333333333333,42500.0,269.0
Sunday,2020-01-05,6,4.6025915,4.6555075,-0.7166666666666667,90.83333333333331,2.85,1029.1166666666666,43333.333333333336,276.0
Sunday,2020-01-05,7,3.689187,3.6870275,0.4666666666666666,89.83333333333333,3.35,1029.4166666666667,42500.0,290.0
Sunday,2020-01-05,8,4.7862005,5.021622,0.7999999999999999,92.0,2.6,1029.6333333333334,35000.0,274.0
Sunday,2020-01-05,9,8.3770005,9.1027025,1.2333333333333334,90.33333333333331,1.7,1029.6,35833.333333333336,264.0
Sunday,2020-01-05,10,10.155478,11.971895,2.8000000000000003,88.0,2.266666666666667,1029.5,38333.333333333336,221.0
Sunday,2020-01-05,11,6.3234705,7.534053999999999,3.6,84.83333333333333,3.683333333333333,1028.9666666666667,40000.0,208.0
Sunday,2020-01-05,12,6.187298999999999,6.938919,4.116666666666666,82.83333333333333,4.433333333333333,1028.35,40833.333333333336,215.0
Sunday,2020-01-05,13,5.0524695,5.587027,4.233333333333333,83.5,5.6000000000000005,1027.65,42500.0,209.0
Sunday,2020-01-05,14,4.873846500000001,5.1816215,4.266666666666667,84.33333333333333,5.216666666666666,1027.3833333333334,42500.0,209.0
Sunday,2020-01-05,15,6.2463955,6.661622,3.8333333333333335,94.16666666666669,5.95,1027.2,8833.333333333334,216.0
Sunday,2020-01-05,16,6.3441385,6.672432499999999,3.883333333333333,96.83333333333331,5.866666666666667,1026.7,15483.333333333334,218.0
Sunday,2020-01-05,17,7.0581045,7.304864500000001,4.266666666666667,96.83333333333331,5.866666666666667,1026.1666666666667,20166.666666666668,217.0
Sunday,2020-01-05,18,5.9816425,6.0010815,4.733333333333333,96.83333333333331,6.533333333333334,1025.6333333333334,11833.333333333334,221.0
Sunday,2020-01-05,19,6.4364,6.606486,4.866666666666666,96.66666666666669,5.4,1025.4166666666667,18000.0,224.0
Sunday,2020-01-05,20,5.7175045,5.9086485,5.4,93.83333333333331,6.1000000000000005,1024.85,22166.666666666668,221.0
Sunday,2020-01-05,21,3.901059,3.881081,5.466666666666666,93.33333333333331,6.366666666666667,1024.7,14166.666666666666,234.0
Sunday,2020-01-05,22,4.5287315,4.6054055,5.383333333333333,94.16666666666669,5.8500000000000005,1024.5333333333333,13666.666666666666,233.0
Sunday,2020-01-05,23,3.5273005,3.28,5.3500000000000005,94.33333333333331,6.366666666666667,1024.0333333333333,19833.33333333333,239.0
Monday,2020-01-06,0,2.4423895,2.652973,5.2,96.0,6.366666666666667,1023.75,17833.333333333332,239.0
Monday,2020-01-06,1,2.1118740000000003,2.0956755,5.2,95.33333333333331,5.866666666666667,1023.45,25333.33333333333,235.0
Monday,2020-01-06,2,1.6749145,1.9708105,5.216666666666667,95.83333333333331,5.5,1023.2166666666668,16333.333333333334,238.0
Monday,2020-01-06,3,1.9607295,1.6356755,5.366666666666667,95.66666666666669,5.666666666666667,1022.7833333333332,25333.33333333333,238.0
Monday,2020-01-06,4,2.0371665,1.9162165,5.45,95.66666666666669,5.95,1022.55,24833.33333333333,241.0
Monday,2020-01-06,5,3.0906915,2.9805405,5.45,96.66666666666669,5.5,1022.2666666666668,11500.0,244.0
Monday,2020-01-06,6,6.686372,6.580541,5.516666666666667,97.5,5.116666666666666,1022.2,8450.0,239.0
Monday,2020-01-06,7,8.3772765,8.357838000000001,5.7,97.83333333333331,4.85,1022.2333333333332,5833.333333333333,231.0
Monday,2020-01-06,8,9.3081675,9.3632435,5.8,98.66666666666669,5.583333333333333,1022.05,4283.333333333333,238.0
Monday,2020-01-06,9,8.0375145,8.2383785,5.883333333333334,99.0,5.4,1022.0666666666666,5466.666666666667,243.0
Monday,2020-01-06,10,6.7241990000000005,7.108108,6.133333333333333,98.83333333333331,4.766666666666667,1021.8666666666668,4633.333333333333,238.0
Monday,2020-01-06,11,7.297798999999999,7.762162,6.266666666666667,100.0,4.183333333333333,1021.5166666666668,1583.3333333333333,237.0
Monday,2020-01-06,12,8.545777999999999,8.890811,6.483333333333333,99.83333333333331,4.516666666666667,1021.05,8750.0,231.0
Monday,2020-01-06,13,6.5406445,6.636757,6.333333333333333,98.66666666666669,3.933333333333333,1020.8,8333.333333333334,222.0
Monday,2020-01-06,14,7.1736195,7.771351500000001,6.3,98.5,5.233333333333333,1020.4166666666666,8183.333333333333,215.0
Monday,2020-01-06,15,7.383967999999999,7.5545945,6.15,97.5,5.8500000000000005,1020.2333333333332,11000.0,229.0
Monday,2020-01-06,16,7.8278915,8.1275675,6.0,97.33333333333331,4.783333333333333,1019.8166666666666,16666.666666666668,231.0
Monday,2020-01-06,17,7.665793000000001,8.024324,5.8500000000000005,98.66666666666669,4.766666666666667,1019.3666666666668,6333.333333333333,223.0
Monday,2020-01-06,18,6.470238,6.44,5.833333333333333,95.83333333333331,5.75,1019.2333333333332,12666.666666666666,233.0
Monday,2020-01-06,19,5.2443485,5.2670265,5.666666666666667,95.0,4.866666666666666,1018.9,12500.0,231.0
Monday,2020-01-06,20,6.973096999999999,7.0875675,5.433333333333334,95.0,4.1,1018.5166666666668,10500.0,214.0
Monday,2020-01-06,21,5.8010815,5.801081,5.216666666666666,94.66666666666669,4.6,1018.2166666666668,11000.0,193.0
Monday,2020-01-06,22,5.903179,5.8437835,4.866666666666666,93.0,5.016666666666667,1017.6666666666666,16333.333333333334,198.0
Monday,2020-01-06,23,5.492691499999999,5.232432,4.8500000000000005,94.16666666666669,4.85,1017.05,11833.333333333334,191.0
Tuesday,2020-01-07,0,4.7633415,4.854054,4.916666666666667,90.5,4.95,1016.9666666666668,22000.0,197.0
Tuesday,2020-01-07,1,4.784903,4.8205405,4.816666666666667,84.66666666666667,4.8,1016.9833333333332,34000.0,218.0
Tuesday,2020-01-07,2,4.876696,4.8205405,4.65,87.0,4.183333333333333,1016.8833333333332,29000.0,214.0
Tuesday,2020-01-07,3,5.4339225,5.3124325,4.583333333333333,87.16666666666667,4.633333333333334,1016.4833333333332,28666.666666666668,205.0
Tuesday,2020-01-07,4,4.395503,4.235676,4.233333333333333,88.5,5.8500000000000005,1016.45,29333.33333333333,205.0
Tuesday,2020-01-07,5,4.828382,4.5816215,4.05,89.16666666666667,4.35,1016.8166666666666,27833.33333333333,207.0
Tuesday,2020-01-07,6,7.7696105,8.159459,4.0,89.66666666666667,3.766666666666666,1017.1333333333332,23500.0,203.0
Tuesday,2020-01-07,7,8.2564645,8.985946,3.883333333333333,91.33333333333331,3.766666666666666,1017.75,14333.333333333334,208.0
Tuesday,2020-01-07,8,9.6946305,10.229189,3.8166666666666655,96.5,3.6,1018.3666666666668,6450.0,200.0
Tuesday,2020-01-07,9,9.7048785,10.217295,4.233333333333333,96.83333333333331,4.183333333333333,1018.7333333333332,7166.666666666667,203.0
Tuesday,2020-01-07,10,9.6030305,10.406485,4.783333333333333,98.0,4.016666666666667,1018.7333333333332,4433.333333333333,211.0
Tuesday,2020-01-07,11,9.668344,10.88703,5.65,97.66666666666669,4.516666666666667,1018.8,6000.0,224.0
Tuesday,2020-01-07,12,11.631055,13.356755,6.383333333333333,97.33333333333331,5.1,1018.8833333333332,7500.0,226.0
Tuesday,2020-01-07,13,10.26811,11.27027,6.683333333333334,96.83333333333331,4.683333333333333,1019.15,17666.666666666668,236.0
Tuesday,2020-01-07,14,11.327465,11.734595,6.933333333333334,92.16666666666669,4.516666666666667,1019.5833333333334,37000.0,236.0
Tuesday,2020-01-07,15,9.488725,9.561082,6.816666666666666,90.16666666666669,5.216666666666666,1020.0666666666666,40833.333333333336,231.0
Tuesday,2020-01-07,16,6.6139095,6.48,6.616666666666667,87.83333333333333,6.083333333333333,1020.1666666666666,35000.0,230.0
Tuesday,2020-01-07,17,5.077839,5.078919,6.166666666666667,87.16666666666667,6.1000000000000005,1020.3666666666668,34166.666666666664,238.0
Tuesday,2020-01-07,18,3.8732625,3.641081,5.55,90.83333333333331,5.683333333333334,1019.8333333333334,30000.0,219.0
Tuesday,2020-01-07,19,4.8297645,4.862162,5.483333333333333,90.33333333333331,6.616666666666667,1019.4666666666668,30000.0,219.0
Tuesday,2020-01-07,20,4.327514000000001,4.277838,5.233333333333333,91.0,6.7,1018.5833333333334,29500.0,219.0
Tuesday,2020-01-07,21,4.349287,4.44,5.45,91.33333333333331,6.616666666666667,1018.0833333333334,27333.33333333333,204.0
Tuesday,2020-01-07,22,4.9752535,4.584865000000001,5.716666666666666,90.16666666666669,6.616666666666667,1016.8833333333332,20333.33333333333,199.0
Tuesday,2020-01-07,23,6.03544,5.8172975000000005,5.8,90.0,7.783333333333334,1015.2666666666668,18166.666666666668,196.0
Wednesday,2020-01-08,0,6.030524,6.2654055,6.033333333333334,88.16666666666667,8.233333333333333,1014.9166666666666,21500.0,206.0
Wednesday,2020-01-08,1,5.3275695,5.3297295,6.1000000000000005,89.33333333333333,7.533333333333334,1014.2333333333332,17666.666666666668,212.0
Wednesday,2020-01-08,2,6.041565,5.989189,6.1000000000000005,90.83333333333331,7.616666666666667,1013.6666666666666,20333.33333333333,200.0
Wednesday,2020-01-08,3,6.846748,6.5886485,6.416666666666667,89.16666666666667,8.166666666666666,1013.2,22833.33333333333,212.0
Wednesday,2020-01-08,4,6.981935,6.771892,6.183333333333334,93.83333333333331,8.516666666666667,1012.4166666666666,14333.333333333334,216.0
Wednesday,2020-01-08,5,6.258343,6.225946,6.4,96.0,7.949999999999999,1011.95,8833.333333333334,217.0
Wednesday,2020-01-08,6,6.738565,6.9113515,6.666666666666667,97.0,7.949999999999999,1011.8,5500.0,216.0
Wednesday,2020-01-08,7,6.815461,7.116757,6.916666666666667,97.16666666666669,8.766666666666667,1011.9166666666666,10166.666666666666,225.0
Wednesday,2020-01-08,8,6.8150255,7.213513499999999,7.216666666666666,98.33333333333331,8.133333333333333,1012.2,6166.666666666667,227.0
Wednesday,2020-01-08,9,6.339656,6.521081499999999,7.516666666666667,98.5,7.2,1012.5333333333332,10833.333333333334,229.0
Wednesday,2020-01-08,10,5.837151,6.202162,7.899999999999999,98.0,6.866666666666667,1012.4333333333334,17833.333333333332,230.0
Wednesday,2020-01-08,11,5.577965,6.1956755,8.200000000000001,96.83333333333331,6.7,1012.5833333333334,21166.666666666668,228.0
Wednesday,2020-01-08,12,5.5456145,6.2389185000000005,8.533333333333333,95.5,6.616666666666667,1012.75,18666.666666666668,236.0
Wednesday,2020-01-08,13,6.3196675,7.0118915,8.700000000000001,93.0,6.2,1013.25,21833.33333333333,231.0
Wednesday,2020-01-08,14,6.718528,7.356756499999999,8.366666666666667,91.0,5.216666666666666,1014.2333333333332,26166.666666666668,243.0
Wednesday,2020-01-08,15,7.837619,8.135135,7.783333333333334,89.0,5.116666666666666,1014.9833333333332,29000.0,250.0
Wednesday,2020-01-08,16,8.453367499999999,8.3183785,7.6,88.83333333333333,5.033333333333333,1015.6333333333332,28166.666666666668,247.0
Wednesday,2020-01-08,17,8.253681499999999,8.409729500000001,7.133333333333333,89.66666666666667,4.266666666666667,1016.2333333333332,26666.666666666668,246.0
Wednesday,2020-01-08,18,7.421632499999999,7.431350999999999,5.95,92.5,3.516666666666667,1016.8166666666666,26166.666666666668,237.0
Wednesday,2020-01-08,19,7.804565500000001,7.5275675,5.3,94.16666666666669,3.6833333333333336,1017.3833333333332,25000.0,220.0
Wednesday,2020-01-08,20,7.183784,7.414054,5.066666666666666,93.83333333333331,3.4333333333333336,1017.9333333333334,23833.33333333333,231.0
Wednesday,2020-01-08,21,5.459459000000001,5.462161999999999,4.25,95.0,3.933333333333333,1018.4,23666.666666666668,230.0
